Geographic Name,Race Origin,Income Level,Year,Measure Names,Measure Values
Adair County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Household Income,2017-2021,Margin of Error (+/-),3909
Adair County,Hispanic or Latino origin,Median Household Income,2017-2021,Margin of Error (+/-),17679
Adair County,  Two or more races,Median Household Income,2017-2021,Margin of Error (+/-),
Adair County,  Some other race alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adair County,  Asian alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Household Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone,Median Household Income,2017-2021,Margin of Error (+/-),3275
Adair County,Total,Median Household Income,2017-2021,Margin of Error (+/-),4047
Adair County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2017-2021,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Household Income,2017-2021,Estimate,58372
Adair County,Hispanic or Latino origin,Median Household Income,2017-2021,Estimate,58750
Adair County,  Two or more races,Median Household Income,2017-2021,Estimate,
Adair County,  Some other race alone,Median Household Income,2017-2021,Estimate,
Adair County,  Asian alone,Median Household Income,2017-2021,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Household Income,2017-2021,Estimate,
Adair County,  Black/African American alone,Median Household Income,2017-2021,Estimate,
Adair County,  White alone,Median Household Income,2017-2021,Estimate,58468
Adair County,Total,Median Household Income,2017-2021,Estimate,57944
Adair County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Household Income,2012-2016,Margin of Error (+/-),3045
Adair County,Hispanic or Latino origin,Median Household Income,2012-2016,Margin of Error (+/-),18656
Adair County,  Two or more races,Median Household Income,2012-2016,Margin of Error (+/-),
Adair County,  Some other race alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adair County,  Asian alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Household Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone,Median Household Income,2012-2016,Margin of Error (+/-),3147
Adair County,Total,Median Household Income,2012-2016,Margin of Error (+/-),3141
Adair County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2012-2016,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Household Income,2012-2016,Estimate,48779
Adair County,Hispanic or Latino origin,Median Household Income,2012-2016,Estimate,27308
Adair County,  Two or more races,Median Household Income,2012-2016,Estimate,
Adair County,  Some other race alone,Median Household Income,2012-2016,Estimate,
Adair County,  Asian alone,Median Household Income,2012-2016,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Household Income,2012-2016,Estimate,
Adair County,  Black/African American alone,Median Household Income,2012-2016,Estimate,
Adair County,  White alone,Median Household Income,2012-2016,Estimate,48632
Adair County,Total,Median Household Income,2012-2016,Estimate,48765
Adair County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Household Income,2007-2011,Margin of Error (+/-),2573
Adair County,Hispanic or Latino origin,Median Household Income,2007-2011,Margin of Error (+/-),2065
Adair County,  Two or more races,Median Household Income,2007-2011,Margin of Error (+/-),36019
Adair County,  Some other race alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adair County,  Asian alone,Median Household Income,2007-2011,Margin of Error (+/-),6542
Adair County,  American Indian and Alaska Native alone,Median Household Income,2007-2011,Margin of Error (+/-),75030
Adair County,  Black/African American alone,Median Household Income,2007-2011,Margin of Error (+/-),
Adair County,  White alone,Median Household Income,2007-2011,Margin of Error (+/-),2573
Adair County,Total,Median Household Income,2007-2011,Margin of Error (+/-),2695
Adair County,Native Hawaiian and other Pacific Islander alone,Median Household Income,2007-2011,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Household Income,2007-2011,Estimate,47841
Adair County,Hispanic or Latino origin,Median Household Income,2007-2011,Estimate,12917
Adair County,  Two or more races,Median Household Income,2007-2011,Estimate,50417
Adair County,  Some other race alone,Median Household Income,2007-2011,Estimate,
Adair County,  Asian alone,Median Household Income,2007-2011,Estimate,29000
Adair County,  American Indian and Alaska Native alone,Median Household Income,2007-2011,Estimate,35313
Adair County,  Black/African American alone,Median Household Income,2007-2011,Estimate,
Adair County,  White alone,Median Household Income,2007-2011,Estimate,47841
Adair County,Total,Median Household Income,2007-2011,Estimate,47623
Adair County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Family Income,2017-2021,Margin of Error (+/-),7978
Adair County,Hispanic or Latino origin,Median Family Income,2017-2021,Margin of Error (+/-),7340
Adair County,  Two or more races,Median Family Income,2017-2021,Margin of Error (+/-),
Adair County,  Some other race alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adair County,  Asian alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adair County,  American Indian and Alaska Native alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adair County,  Black/African American alone,Median Family Income,2017-2021,Margin of Error (+/-),
Adair County,  White alone,Median Family Income,2017-2021,Margin of Error (+/-),8761
Adair County,Total,Median Family Income,2017-2021,Margin of Error (+/-),8622
Adair County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2017-2021,Estimate,
Adair County,  White alone not Hispanic or Latino,Median Family Income,2017-2021,Estimate,82734
Adair County,Hispanic or Latino origin,Median Family Income,2017-2021,Estimate,59167
Adair County,  Two or more races,Median Family Income,2017-2021,Estimate,
Adair County,  Some other race alone,Median Family Income,2017-2021,Estimate,
Adair County,  Asian alone,Median Family Income,2017-2021,Estimate,
Adair County,  American Indian and Alaska Native alone,Median Family Income,2017-2021,Estimate,
Adair County,  Black/African American alone,Median Family Income,2017-2021,Estimate,
Adair County,  White alone,Median Family Income,2017-2021,Estimate,80104
Adair County,Total,Median Family Income,2017-2021,Estimate,79621
Adair County,Native Hawaiian and other Pacific Islander alone,Median Family Income,2012-2016,Margin of Error (+/-),
Adair County,  White alone not Hispanic or Latino,Median Family Income,2012-2016,Margin of Error (+/-),2489
Adair County,Hispanic or Latino origin,Median Family Income,2012-2016,Margin of Error (+/-),16114
